C:\Users\luiso\CLionProjects\questao1\cmake-build-debug\questao1_principal.exe
Quest├úo 1 - Itens: A e G:
1 - 3 produtores e 1 consumidor
2 - 6 produtores e 2 consumidores
Digite sua escolha (1 ou 2):2
(P) TID: 5 | VALOR: R$ 548 | ITERACAO: 26
(P) TID: 4 | VALOR: R$ 663 | ITERACAO: 27
(P) TID: 2 | VALOR: R$ 663 | ITERACAO: 27
(P) TID: 6 | VALOR: R$ 663 | ITERACAO: 27
(C) TID: 8 | MEDIA: R$ 605.50 | ITERACAO: 36
(C) TID: 8 | MEDIA: R$ 663.00 | ITERACAO: 37
(P) TID: 5 | VALOR: R$ 663 | ITERACAO: 27
(P) TID: 4 | VALOR: R$ 38 | ITERACAO: 28
(P) TID: 2 | VALOR: R$ 38 | ITERACAO: 28
(P) TID: 6 | VALOR: R$ 38 | ITERACAO: 28
(C) TID: 7 | MEDIA: R$ 350.50 | ITERACAO: 38
(C) TID: 7 | MEDIA: R$ 38.00 | ITERACAO: 39
(P) TID: 5 | VALOR: R$ 38 | ITERACAO: 28
(P) TID: 4 | VALOR: R$ 724 | ITERACAO: 29
(P) TID: 2 | VALOR: R$ 724 | ITERACAO: 29
(P) TID: 6 | VALOR: R$ 724 | ITERACAO: 29
(C) TID: 8 | MEDIA: R$ 381.00 | ITERACAO: 38
(C) TID: 8 | MEDIA: R$ 724.00 | ITERACAO: 39
(P) TID: 5 finalizou
(P) TID: 4 | VALOR: R$ 530 | ITERACAO: 30
(P) TID: 2 finalizou
(C) TID: 8 | MEDIA: R$ 602.00 | ITERACAO: 40
(P) TID: 6 finalizou
(P) TID: 4 finalizou
(C) TID: 8 finalizou
(C) TID: 7 finalizou
Tempo total: 99.59 s

Process finished with exit code 0
